jackknife_run bin_cM average_cov exp_fit
all 0.48300 -0.00070 0.00013
all 0.48400 0.00018 0.00013
all 0.48500 -0.00047 0.00013
all 0.48600 0.00012 0.00013
all 0.48700 -0.00002 0.00012
all 0.48800 0.00024 0.00012
all 0.48900 -0.00003 0.00012
all 0.49000 -0.00043 0.00012
all 0.49100 -0.00065 0.00012
all 0.49200 -0.00054 0.00012
all 0.49300 0.00045 0.00012
all 0.49400 0.00051 0.00012
all 0.49500 0.00096 0.00012
all 0.49600 0.00037 0.00012
all 0.49700 -0.00067 0.00012
all 0.49800 0.00009 0.00012
all 0.49900 0.00088 0.00012
all 0.50000 -0.00010 0.00012
all 0.50100 -0.00062 0.00011
all 0.50200 -0.00030 0.00011
all 0.50300 -0.00032 0.00011
all 0.50400 -0.00082 0.00011
all 0.50500 -0.00070 0.00011
all 0.50600 -0.00075 0.00011
all 0.50700 -0.00029 0.00011
all 0.50800 0.00010 0.00011
all 0.50900 0.00085 0.00011
all 0.51000 -0.00033 0.00011
all 0.51100 -0.00055 0.00011
all 0.51200 -0.00064 0.00011
all 0.51300 0.00080 0.00011
all 0.51400 -0.00073 0.00011
all 0.51500 -0.00045 0.00011
all 0.51600 0.00053 0.00011
all 0.51700 -0.00065 0.00010
all 0.51800 -0.00114 0.00010
all 0.51900 -0.00008 0.00010
all 0.52000 -0.00041 0.00010
all 0.52100 0.00033 0.00010
all 0.52200 -0.00032 0.00010
all 0.52300 -0.00014 0.00010
all 0.52400 -0.00031 0.00010
all 0.52500 0.00054 0.00010
all 0.52600 0.00054 0.00010
all 0.52700 -0.00022 0.00010
all 0.52800 0.00062 0.00010
all 0.52900 -0.00006 0.00010
all 0.53000 0.00050 0.00010
all 0.53100 0.00042 0.00010
all 0.53200 -0.00012 0.00010
all 0.53300 0.00025 0.00010
all 0.53400 0.00010 0.00010
all 0.53500 0.00099 0.00010
all 0.53600 0.00059 0.00010
all 0.53700 0.00086 0.00010
all 0.53800 0.00000 0.00009
all 0.53900 0.00033 0.00009
all 0.54000 -0.00015 0.00009
all 0.54100 -0.00010 0.00009
all 0.54200 -0.00063 0.00009
all 0.54300 -0.00050 0.00009
all 0.54400 -0.00093 0.00009
all 0.54500 0.00015 0.00009
all 0.54600 0.00025 0.00009
all 0.54700 0.00066 0.00009
all 0.54800 0.00050 0.00009
all 0.54900 0.00038 0.00009
all 0.55000 0.00057 0.00009
